OBJECTID;MIVA_toilet;Entree;Gebruik;Status;Ma;Ma_van;Ma_tot;Di;Di_van;Di_tot;Wo;Wo_van;Wo_tot;Do;Do_van;Do_tot;Vr;Vr_van;Vr_tot;Za;Za_van;Za_tot;Zo;Zo_van;Zo_tot;Kosten;Beoordeling;Eigenaar;Opmerking;Beugels;Grote_prullenbak;Wastafel;Baby_verschoontafel;GlobalID;X;Y;LONG;LAT
71;;;;In onderhoud;Ja;8:00;20:00;Ja;08:00;20:00;Ja;8:00;20:00;Ja;8:00;20:00;Ja;8:00;21:00;Ja;8:00;20:00;Ja;10:00;19:00;€ 0,00;;Albert Heijn;;Ja;Ja;;;6bd3ee89-f9a1-4a69-b433-a384608fccb2;95210.63745745161;453159.8375916617;4.515301716277128;52.06350338901526
72;;;;In onderhoud;Ja;8:00;21:00;Ja;08:00;21:00;Ja;08:00;21:00;Ja;8:00;21:00;Ja;8:00;21:00;Ja;8:00;21:00;Ja;10:00;20:00;€ 0,00;;;;;;;;2c86d1c0-7109-41a8-b79c-cc21afad6a26;96981.66458410784;452683.8338524016;4.541206488469032;52.05941371000032
73;;;;In onderhoud;Ja;10:00;17:00;Ja;10:00;17:00;Ja;10:00;17:00;Ja;10:00;17:00;Ja;10:00;17:00;Ja;10:00;17:00;Ja;10:00;17:00;€ 0,00;;Stadsboerderij De Weidemolen;;;;;;90567e61-7f1b-4702-aba5-4b5401ad9bcc;97772.73094797501;452749.5462452362;4.552729256214958;52.06008655441788
74;;;;;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;€ 0,00;;;;Ja;Ja;Ja;Ja;77e754e6-6b64-4442-83e4-152aa5022632;99811.07606215129;443817.56972763874;4.5838893776032;51.980018079421804
75;Nee;Drempel;Krap;In onderhoud;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;€ 0,50;;Texaco;;Ja;Ja;Ja;Ja;c15a4668-bbb8-4f6a-a65e-f2bf87f9d9a6;99889.2344816147;441483.14370974136;4.585402131731641;51.95904510883776
76;Ja;;Gemiddeld;In onderhoud;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;€ 0,00;;Praxis;;Ja;Ja;Ja;Nee;d6b23364-2858-44d8-bcbe-7c67bd70d46e;99667.95059809228;441380.3958035578;4.582199575124298;51.958099671703835
77;Nee;;Gemiddeld;In onderhoud;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;€ 0,50;;;;Ja;Ja;Ja;Ja;fb72208d-0d95-4a02-87f2-0c9f5db00263;98717.13825247125;440745.82533391786;4.568472026399801;51.952301000869035
78;Ja;;Gemiddeld;In onderhoud;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;€ 0,00;Goed;;;Ja;Ja;Ja;Nee;8b56c36e-52d7-4b62-b369-e565003cbc2f;100120.06644664163;438395.9656910922;4.589253762964507;51.93132167994788
79;Ja;Drempelvrij;Gemiddeld;In onderhoud;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;€ 0,50;Goed;Wereldhave;;Ja;Ja;Ja;Ja;9d71ad9f-0972-478e-9eeb-3b0483113851;100163.33072277199;438236.4984970073;4.589908221048328;51.929892718319884
80;Nee;Drempel;Krap;In onderhoud;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;€ 0,50;Matig;Shell;;Ja;Ja;Ja;Ja;b4d1be4e-dafb-4dfb-bf4b-1cbdf6d16706;98940.69215793314;437990.9410468214;4.572173460878443;51.927563935600475
81;Nee;Drempel;Krap;In onderhoud;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;€ 0,50;Matig;;;Nee;Ja;Ja;Nee;647c0fbd-73f8-41ab-8b43-9b7a615e5f4d;98967.28531433782;437927.33554014534;4.572570427457814;51.92699495502398
82;Nee;Drempelvrij;Gemiddeld;In onderhoud;Ja;8:00;23:00;Ja;8:00;23:00;Ja;8:00;23:00;Ja;8:00;23:00;Ja;8:00;23:00;Ja;8:00;23:00;Ja;8:00;23:00;€ 0,00;;Mc Donalds;;Nee;Ja;Ja;Nee;2dee9f82-d74b-473e-bf31-3366b16d60d7;98535.91016984312;437764.34280412184;4.56632624508268;51.925486458176984
83;Ja;;Ruim;In onderhoud;Ja;8:00;20:00;Ja;8:00;20:00;Ja;8:00;20:00;Ja;8:00;20:00;Ja;8:00;20:00;Ja;8:00;20:00;Ja;8:00;20:00;€ 0,00;Goed;Albert Heijn;;Ja;Ja;Ja;Ja;56eb6640-88de-4cfb-9f10-c2c285186410;100043.30459620547;436549.6790240753;4.588432992125234;51.91472042979613
84;Nee;Drempelvrij;Gemiddeld;In onderhoud;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;Ja;9:00;17:00;€ 0,00;Goed;Gemeente Rotterdam;Bij receptie vragen deur op afstand te openen;Ja;Ja;Ja;Ja;c944980d-1621-4b7f-b3c0-7ffd07f0fdc6;93131.4547477643;435722.33132437494;4.488131835522442;51.90655975950386
